Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
1,A Dijiang,M,24.0,180.0,80.0,CHINA,CHN,China,20-25
2,A Lamusi,M,23.0,170.0,60.0,CHINA,CHN,China,20-25
3,A. Abdul Razzak,M,25.0,178.0,70.0,IRAQ,IRQ,Iraq,20-25
4,A. Albert,M,25.0,175.0,70.0,UNION DES SOCITS FRANAIS DE SPORTS ATHLETIQUES,FRA,France,20-25
5,A. Brun,F,25.0,175.0,70.0,FRANCE,FRA,France,20-25
6,A. Buydens,M,25.0,175.0,70.0,BELGIUM,BEL,Belgium,20-25
7,A. Christory,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
8,A. Darnis,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
9,A. De Romigny,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
10,A. Dubois,M,25.0,175.0,70.0,GITANA-21,FRA,France,20-25
11,A. Dubois,M,25.0,175.0,70.0,GITANA-2,FRA,France,20-25
12,A. Duponcheel,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
13,A. G. Chagale,M,25.0,175.0,70.0,INDIA,IND,India,20-25
14,A. Hussain Ahmed,M,25.0,175.0,70.0,INDIA,IND,India,20-25
15,"A. J. Tyronne Benildus ""Benny"" Fernando",M,27.0,179.0,70.0,SRI LANKA,SRI,Sri Lanka,26-30
16,A. Sattar Basheer,M,25.0,175.0,70.0,INDIA,IND,India,20-25
17,A. Tark Erilmez,M,25.0,175.0,70.0,TURKEY,TUR,Turkey,20-25
18,Aadjijatmiko Finarsih H.,F,20.0,175.0,70.0,INDONESIA-1,INA,Indonesia,20-25
19,Aadjijatmiko Finarsih H.,F,24.0,175.0,70.0,INDONESIA-1,INA,Indonesia,20-25
20,Aage Berntsen,M,34.0,175.0,70.0,DENMARK,DEN,Denmark,30+
21,Aage Birch,M,25.0,172.0,70.0,SNUDE,DEN,Denmark,20-25
22,Aage Birch,M,33.0,172.0,70.0,CHOK,DEN,Denmark,30+
23,Aage Birch,M,42.0,172.0,70.0,DENMARK,DEN,Denmark,30+
24,Aage Emil Brix,M,29.0,175.0,70.0,UNITED STATES,USA,USA,26-30
25,Aage Ingvar Eriksen,M,31.0,175.0,70.0,NORWAY,NOR,Norway,30+
26,Aage Ingvar Eriksen,M,35.0,175.0,70.0,NORWAY,NOR,Norway,30+
27,Aage Jrgen Christian Andersen,M,22.0,175.0,70.0,DENMARK,DEN,Denmark,20-25
28,"Aaltje Grietje ""Alie"" Boorsma",F,24.0,179.0,75.0,NETHERLANDS,NED,Netherlands,20-25
29,Aarne Frithiof Louis Castrn,M,28.0,175.0,70.0,TERESITA,FIN,Finland,26-30
30,"Aarno Aksel ""Arno"" Almqvist",M,30.0,175.0,70.0,RUSSIA,RUS,Russia,26-30
31,Aaron Arthur Cook,M,17.0,183.0,80.0,GREAT BRITAIN,GBR,UK,<20
32,Aaron Arthur Cook,M,25.0,183.0,80.0,MOLDOVA,MDA,Moldova,20-25
33,Aaron Blunck,M,17.0,180.0,78.0,UNITED STATES,USA,USA,<20
34,Aaron Brown,M,20.0,198.0,79.0,CANADA,CAN,Canada,20-25
35,Aaron Brown,M,24.0,198.0,79.0,CANADA,CAN,Canada,20-25
36,Aaron Cleare,M,21.0,185.0,84.0,BAHAMAS,BAH,Bahamas,20-25
37,Aaron Dupnai,M,20.0,162.0,54.0,PAPUA NEW GUINEA,PNG,Papua New Guinea,20-25
38,Aaron Egbele,M,25.0,181.0,79.0,NIGERIA,NGR,Nigeria,20-25
39,Aaron Feltham,M,26.0,190.0,94.0,CANADA,CAN,Canada,26-30
40,Aaron Fernandes,M,27.0,175.0,70.0,CANADA,CAN,Canada,26-30
41,"Aaron J. ""Aj"" Bear",M,25.0,170.0,82.0,AUSTRALIA,AUS,Australia,20-25
42,"Aaron J. ""Aj"" Bear",M,29.0,170.0,82.0,AUSTRALIA,AUS,Australia,26-30
43,Aaron Nigel Armstrong,M,30.0,173.0,70.0,TRINIDAD AND TOBAGO,TTO,Trinidad,26-30
44,Aauri Lorena Bokesa Abia,F,23.0,180.0,62.0,SPAIN,ESP,Spain,20-25
45,Aauri Lorena Bokesa Abia,F,27.0,180.0,62.0,SPAIN,ESP,Spain,26-30
46,Abas Arslanagi,M,27.0,189.0,97.0,YUGOSLAVIA,YUG,Serbia,26-30
47,Abas Arslanagi,M,31.0,189.0,97.0,YUGOSLAVIA,YUG,Serbia,30+
48,Abbas Ahmad,M,25.0,175.0,70.0,EGYPT,EGY,Egypt,20-25
49,Abbas Al-Harbi,M,28.0,175.0,70.0,KUWAIT,KUW,Kuwait,26-30
50,Abbas Al-Qaisoum,M,31.0,173.0,94.0,SAUDI ARABIA,KSA,Saudi Arabia,30+
51,Abbas Dabbaghi Souraki,M,21.0,168.0,55.0,IRAN,IRI,Iran,20-25
52,Abbas Fallah,M,27.0,180.0,90.0,IRAN,IRI,Iran,26-30
53,Abbas Murshid Al-Aibi,M,25.0,168.0,67.0,IRAQ,IRQ,Iraq,20-25
54,Abbo Dias Bartolomeu,M,22.0,175.0,70.0,ANGOLA,ANG,Angola,20-25
55,Abbos Atayev,M,22.0,186.0,75.0,UZBEKISTAN,UZB,Uzbekistan,20-25
56,Abbos Atayev,M,26.0,186.0,75.0,UZBEKISTAN,UZB,Uzbekistan,26-30
57,Abby Bishop,F,23.0,189.0,85.0,AUSTRALIA,AUS,Australia,20-25
58,Abby May Erceg,F,18.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,<20
59,Abby May Erceg,F,22.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,20-25
60,Abby May Erceg,F,26.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,26-30
61,Abdal Salam Al-Dabaji,M,25.0,176.0,64.0,PALESTINE,PLE,Palestine,20-25
62,Abdalla Abdelgadir El-Sheikh,M,21.0,170.0,58.0,SUDAN,SUD,Sudan,20-25
63,Abdalla Ahmed,M,24.0,198.0,72.0,EGYPT,EGY,Egypt,20-25
64,Abdalla Al-Sebaei,M,20.0,175.0,70.0,SYRIA,SYR,Syria,20-25
65,Abdel Amid Boutefnouchet,M,20.0,175.0,70.0,FRANCE,FRA,France,20-25
