Event_Key,Event,Sport,Event_Type
1,Alpine Skiing Men'S Combined,Alpine Skiing,Individual
2,Alpine Skiing Men'S Downhill,Alpine Skiing,Individual
3,Alpine Skiing Men'S Giant Slalom,Alpine Skiing,Individual
4,Alpine Skiing Men'S Slalom,Alpine Skiing,Individual
5,Alpine Skiing Men'S Super G,Alpine Skiing,Individual
6,Alpine Skiing Women'S Combined,Alpine Skiing,Individual
7,Alpine Skiing Women'S Downhill,Alpine Skiing,Individual
8,Alpine Skiing Women'S Giant Slalom,Alpine Skiing,Individual
9,Alpine Skiing Women'S Slalom,Alpine Skiing,Individual
10,Alpine Skiing Women'S Super G,Alpine Skiing,Individual
11,Alpinism Mixed Alpinism,Alpinism,Individual
12,"Archery Men'S Au Cordon Dore, 50 Metres",Archery,Individual
13,Archery Men'S Continental Style,Archery,Individual
14,Archery Men'S Double American Round,Archery,Individual
15,Archery Men'S Double York Round,Archery,Individual
16,Archery Men'S Individual,Archery,Individual
17,"Archery Men'S Pole Archery, Large Birds, Individual",Archery,Individual
18,"Archery Men'S Pole Archery, Large Birds, Team",Archery,Individual
19,"Archery Men'S Pole Archery, Small Birds, Individual",Archery,Individual
20,"Archery Men'S Pole Archery, Small Birds, Team",Archery,Individual
21,Archery Men'S Sur La Perche A La Herse,Archery,Individual
22,"Archery Men'S Target Archery, 28 Metres, Team",Archery,Individual
23,"Archery Men'S Target Archery, 33 Metres, Individual",Archery,Individual
24,"Archery Men'S Target Archery, 33 Metres, Team",Archery,Individual
25,"Archery Men'S Target Archery, 50 Metres, Individual",Archery,Individual
26,"Archery Men'S Target Archery, 50 Metres, Team",Archery,Individual
27,Archery Men'S Team,Archery,Individual
28,Archery Men'S Team Round,Archery,Individual
29,Archery Women'S Double Columbia Round,Archery,Individual
30,Archery Women'S Double National Round,Archery,Individual
31,Archery Women'S Individual,Archery,Individual
32,Archery Women'S Team,Archery,Individual
33,Art Competitions Mixed Architecture,Art Competitions,Individual
34,"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions,Individual
35,"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions,Individual
36,"Art Competitions Mixed Architecture, Unknown Event",Art Competitions,Individual
37,Art Competitions Mixed Literature,Art Competitions,Individual
38,"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,Individual
39,"Art Competitions Mixed Literature, Epic Works",Art Competitions,Individual
40,"Art Competitions Mixed Literature, Lyric Works",Art Competitions,Individual
41,"Art Competitions Mixed Literature, Unknown Event",Art Competitions,Individual
42,Art Competitions Mixed Music,Art Competitions,Individual
43,"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions,Individual
44,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions,Individual
45,"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,Individual
46,"Art Competitions Mixed Music, Unknown Event",Art Competitions,Individual
47,"Art Competitions Mixed Music, Vocals",Art Competitions,Individual
48,Art Competitions Mixed Painting,Art Competitions,Individual
49,"Art Competitions Mixed Painting, Applied Arts",Art Competitions,Individual
50,"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions,Individual
51,"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,Individual
52,"Art Competitions Mixed Painting, Paintings",Art Competitions,Individual
53,"Art Competitions Mixed Painting, Unknown Event",Art Competitions,Individual
54,Art Competitions Mixed Sculpturing,Art Competitions,Individual
55,"Art Competitions Mixed Sculpturing, Medals",Art Competitions,Individual
56,"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions,Individual
57,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,Individual
58,"Art Competitions Mixed Sculpturing, Statues",Art Competitions,Individual
59,"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions,Individual
60,Art Competitions Mixed Unknown Event,Art Competitions,Individual
61,"Athletics Men'S 1,500 Metres",Athletics,Individual
62,"Athletics Men'S 1,500 Metres Walk",Athletics,Individual
63,"Athletics Men'S 1,600 Metres Medley Relay",Athletics,Individual
64,Athletics Men'S 10 Kilometres Walk,Athletics,Individual
65,Athletics Men'S 10 Mile Walk,Athletics,Individual
66,"Athletics Men'S 10,000 Metres",Athletics,Individual
67,Athletics Men'S 100 Metres,Athletics,Individual
68,Athletics Men'S 110 Metres Hurdles,Athletics,Individual
69,"Athletics Men'S 2,500 Metres Steeplechase",Athletics,Individual
70,"Athletics Men'S 2,590 Metres Steeplechase",Athletics,Individual
71,Athletics Men'S 20 Kilometres Walk,Athletics,Individual
72,Athletics Men'S 200 Metres,Athletics,Individual
73,Athletics Men'S 200 Metres Hurdles,Athletics,Individual
74,"Athletics Men'S 3 Mile, Team",Athletics,Individual
75,"Athletics Men'S 3,000 Metres Steeplechase",Athletics,Individual
76,"Athletics Men'S 3,000 Metres Walk",Athletics,Individual
77,"Athletics Men'S 3,000 Metres, Team",Athletics,Individual
78,"Athletics Men'S 3,200 Metres Steeplechase",Athletics,Individual
79,"Athletics Men'S 3,500 Metres Walk",Athletics,Individual
80,"Athletics Men'S 4 Mile, Team",Athletics,Individual
81,Athletics Men'S 4 X 100 Metres Relay,Athletics,Individual
82,Athletics Men'S 4 X 400 Metres Relay,Athletics,Individual
83,"Athletics Men'S 4,000 Metres Steeplechase",Athletics,Individual
84,Athletics Men'S 400 Metres,Athletics,Individual
85,Athletics Men'S 400 Metres Hurdles,Athletics,Individual
86,Athletics Men'S 5 Mile,Athletics,Individual
87,"Athletics Men'S 5,000 Metres",Athletics,Individual
88,"Athletics Men'S 5,000 Metres, Team",Athletics,Individual
89,Athletics Men'S 50 Kilometres Walk,Athletics,Individual
90,Athletics Men'S 56-Pound Weight Throw,Athletics,Individual
91,Athletics Men'S 60 Metres,Athletics,Individual
92,Athletics Men'S 800 Metres,Athletics,Individual
93,Athletics Men'S All-Around Championship,Athletics,Individual
94,"Athletics Men'S Cross-Country, Individual",Athletics,Individual
95,"Athletics Men'S Cross-Country, Team",Athletics,Individual
96,Athletics Men'S Decathlon,Athletics,Individual
97,Athletics Men'S Discus Throw,Athletics,Individual
98,"Athletics Men'S Discus Throw, Both Hands",Athletics,Individual
99,"Athletics Men'S Discus Throw, Greek Style",Athletics,Individual
100,Athletics Men'S Hammer Throw,Athletics,Individual
101,Athletics Men'S High Jump,Athletics,Individual
102,Athletics Men'S Javelin Throw,Athletics,Individual
103,"Athletics Men'S Javelin Throw, Both Hands",Athletics,Individual
